symbol,requested_symbol,resolved_symbol,sample_label,timeframe,family,side,session,hardening_mode,recent_closed,recent_win_rate,recent_pf,recent_expectancy,recent_max_drawdown,total_closed,total_win_rate,total_pf,total_expectancy,total_max_drawdown,monte_carlo_stressed_pf,monte_carlo_stressed_expectancy,monte_carlo_p95_drawdown,spread_x1_5_pf,spread_x2_pf,instrument_type,digits,point,tick_size,spread_points,estimated_spread_price,commission_assumption,slippage_assumption,spread_x1_5_cost,spread_x2_cost,cost_model_confidence,cost_model_reason,remove_best_5_pf,fragile_regime_dependency,single_trade_dependency,candidate,recommendation,rejection_reasons,multi_symbol_score,source_csv
XAUUSD,XAUUSD,XAUUSD.B,XAUUSD_H1_20000,H1,recent_session_open_continuation,both,all,baseline,12,50.0,1.231,0.2413,106.264286,66,60.61,1.4716,0.2443,106.264286,0.6453,-2.548307,303.279477,1.4133,1.4087,metal,2,0.01,0.01,25.0,0.25,0.0,5.0,37.5,50.0,medium,default_instrument_model,0.8351,False,True,False,observation_only,recent_sample_below_20;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;remove_best_5_pf_below_1;single_trade_dependency,77.9374,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\XAUUSD.b_H1_20000.csv
XAUUSD,XAUUSD,XAUUSD.B,XAUUSD_H1_20000,H1,recent_session_open_continuation,both,all,fast_loss_cut,12,50.0,1.231,0.2413,106.264286,66,59.09,1.4655,0.2406,106.264286,0.6422,-2.579253,303.644692,1.4011,1.3965,metal,2,0.01,0.01,25.0,0.25,0.0,5.0,37.5,50.0,medium,default_instrument_model,0.8311,False,True,False,observation_only,recent_sample_below_20;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;remove_best_5_pf_below_1;single_trade_dependency,74.8143,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\XAUUSD.b_H1_20000.csv
XAUUSD,XAUUSD,XAUUSD.B,XAUUSD_H1_20000,H1,recent_session_open_continuation,both,all,trailing_defensive,12,50.0,1.231,0.2413,106.264286,66,60.61,1.4101,0.2215,106.264286,0.6055,-2.865098,332.439007,1.4011,1.3965,metal,2,0.01,0.01,25.0,0.25,0.0,5.0,37.5,50.0,medium,default_instrument_model,0.7836,False,True,False,observation_only,recent_sample_below_20;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;remove_best_5_pf_below_1;single_trade_dependency,66.7964,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\XAUUSD.b_H1_20000.csv
ETHUSD,ETHUSD,ETHUSD,ETHUSD_M30_20000,M30,recent_session_open_continuation,both,all,trailing_defensive,12,50.0,1.6752,0.1532,25.179286,45,57.78,1.5947,0.157,80.257429,0.8182,-1.222014,166.937288,1.5825,1.501,crypto,2,0.01,0.01,50.0,0.5,0.0,10.0,75.0,100.0,medium,default_instrument_model,0.9406,True,False,False,observation_only,recent_sample_below_20;total_sample_below_50;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;remove_best_5_pf_below_1;fragile_regime_dependency,63.821,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\ETHUSD_M30_20000.csv
US500,US500,US500.B,US500_H1_20000,H1,recent_liquidity_sweep,both,all,trailing_defensive,23,43.48,1.3964,0.1079,41.70684,60,41.67,1.1887,0.0491,70.251643,0.6625,-1.986141,180.876631,1.1487,1.1027,index,1,0.1,0.1,15.0,1.5,0.0,3.0,22.5,30.0,medium,default_instrument_model,0.8574,True,False,False,observation_only,monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;remove_best_5_pf_below_1;fragile_regime_dependency,60.9286,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\US500.b_H1_20000.csv
NAS100,NAS100,USTEC.B,NAS100_H1_20000,H1,recent_liquidity_sweep,both,all,mae_guard,23,47.83,1.2689,0.0854,199.027288,69,47.83,1.1657,0.0321,355.975949,0.6935,-8.894051,790.088358,1.1583,1.151,index,1,0.1,0.1,15.0,1.5,0.0,3.0,22.5,30.0,medium,default_instrument_model,0.8975,True,False,False,observation_only,monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;remove_best_5_pf_below_1;fragile_regime_dependency,38.9589,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\USTEC.b_H1_20000.csv
NAS100,NAS100,USTEC.B,NAS100_H1_20000,H1,recent_liquidity_sweep,both,all,baseline,23,43.48,1.2268,0.0737,199.027288,69,46.38,1.1503,0.0282,355.975949,0.6824,-9.250918,798.835082,1.143,1.1357,index,1,0.1,0.1,15.0,1.5,0.0,3.0,22.5,30.0,medium,default_instrument_model,0.883,True,False,False,observation_only,monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;remove_best_5_pf_below_1;fragile_regime_dependency,27.3037,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\USTEC.b_H1_20000.csv
NAS100,NAS100,USTEC.B,NAS100_H1_20000,H1,recent_liquidity_sweep,both,all,fast_loss_cut,23,43.48,1.2268,0.0737,199.027288,69,46.38,1.1503,0.0282,355.975949,0.6824,-9.250918,798.835082,1.143,1.1357,index,1,0.1,0.1,15.0,1.5,0.0,3.0,22.5,30.0,medium,default_instrument_model,0.883,True,False,False,observation_only,monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;remove_best_5_pf_below_1;fragile_regime_dependency,27.3037,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\USTEC.b_H1_20000.csv
ETHUSD,ETHUSD,ETHUSD,ETHUSD_M15_20000,M15,recent_session_open_continuation,both,all,mae_guard,17,47.06,1.4419,0.1398,21.851446,45,44.44,1.3246,0.0801,65.222088,0.6875,-1.661712,119.554735,1.2892,1.3365,crypto,2,0.01,0.01,70.8057,0.708057,0.0,14.16114,106.20855,141.6114,medium,default_instrument_model,0.7923,True,False,False,observation_only,recent_sample_below_20;total_sample_below_50;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;remove_best_5_pf_below_1;fragile_regime_dependency,23.111,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\ETHUSD_M15_20000.csv
ETHUSD,ETHUSD,ETHUSD,ETHUSD_M15_20000,M15,recent_session_open_continuation,both,all,baseline,17,47.06,1.4163,0.1349,21.851446,45,44.44,1.3198,0.0782,65.222088,0.685,-1.681297,119.554735,1.2843,1.3312,crypto,2,0.01,0.01,70.8057,0.708057,0.0,14.16114,106.20855,141.6114,medium,default_instrument_model,0.7894,True,False,False,observation_only,recent_sample_below_20;total_sample_below_50;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;remove_best_5_pf_below_1;fragile_regime_dependency,17.741,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\ETHUSD_M15_20000.csv
