timeframe,profile,rr,time_stop_min,closed,wins,losses,win_rate,profit_factor,expectancy,max_drawdown,test_pf,test_expectancy,monte_carlo_risk_of_ruin,monte_carlo_drawdown_p95,institutional_score,recommendation,candidate,pass_fail_reasons,broker_touched,order_executed
M30,quality_v3_conservative,1.5,15.0,28,12,16,42.86,1.1343,0.036,2639.38,0.0,-0.1557,0.113,6208.31595,-221.5312,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,quality_v3_conservative,1.5,30.0,28,12,16,42.86,1.1343,0.036,2639.38,0.0,-0.1557,0.113,6208.31595,-221.5312,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,quality_v3_conservative,1.2,15.0,28,12,16,42.86,1.1201,0.033,2639.38,0.0,-0.1557,0.101,6090.01165,-224.4652,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,quality_v3_conservative,1.2,30.0,28,12,16,42.86,1.1201,0.033,2639.38,0.0,-0.1557,0.101,6090.01165,-224.4652,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,rsi_reversal_v2_confirmed,1.0,60.0,65,33,32,50.77,1.3508,0.0901,4782.50015,0.7586,-0.0295,0.302,8284.89515,-228.5233,reject,False,sample_too_small;last_2000_pf_below_1;test_pf_below_1;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M15,rsi_reversal_v2_confirmed,1.0,60.0,6,3,3,50.0,1.0259,0.012,1114.4,0.0,0.0,0.007,3366.0523,-230.237,reject,False,sample_too_small;pf_below_1_20;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,capital_preservation_v1,1.5,60.0,9,4,5,44.44,1.0729,0.0258,2436.35725,0.0,0.0,0.04,4834.2832,-232.7215,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,capital_preservation_v1,1.0,60.0,10,5,5,50.0,1.0381,0.0146,1974.2889,0.0,0.0,0.054,5125.54755,-244.3916,reject,False,sample_too_small;pf_below_1_20;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,capital_preservation_v1,1.2,15.0,11,6,5,54.55,1.0249,0.0095,1960.15725,0.0,0.0,0.038,4780.0245,-246.779,reject,False,sample_too_small;pf_below_1_20;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,capital_preservation_v1,1.2,30.0,11,6,5,54.55,1.0249,0.0095,1960.15725,0.0,0.0,0.038,4780.0245,-246.779,reject,False,sample_too_small;pf_below_1_20;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
